"","X","Position","GnA","Value","age","age_group"
"142",142,"D",3,36,27,"Pro Player"
"143",143,"M",3,36,26,"Pro Player"
"144",144,"M",3,36,29,"Peak Player"
"145",145,"M",1,36,26,"Pro Player"
"146",146,"F",4,36,28,"Pro Player"
"147",147,"F",7,36,30,"Peak Player"
"148",148,"M",6,36,29,"Peak Player"
"149",149,"M",4,36,31,"Peak Player"
"150",150,"M",2,34.2,23,"Pro Player"
"151",151,"F",7,34.2,24,"Pro Player"
"152",152,"D",3,34.2,24,"Pro Player"
"153",153,"M",3,34.2,28,"Pro Player"
"154",154,"F",13,34.2,31,"Peak Player"
"155",155,"F",9,31.5,21,"Young Player"
"156",156,"F",0,31.5,21,"Young Player"
"157",157,"M",2,31.5,23,"Pro Player"
"158",158,"M",9,31.5,24,"Pro Player"
"159",159,"F",2,31.5,21,"Young Player"
"160",160,"F",14,31.5,21,"Young Player"
"161",161,"M",2,31.5,21,"Young Player"
"162",162,"F",3,31.5,20,"Young Player"
"163",163,"F",5,31.5,23,"Pro Player"
"164",164,"M",7,31.5,23,"Pro Player"
"165",165,"F",3,31.5,24,"Pro Player"
"166",166,"F",2,31.5,21,"Young Player"
"167",167,"M",0,31.5,25,"Pro Player"
"168",168,"D",0,31.5,22,"Young Player"
"169",169,"D",0,31.5,23,"Pro Player"
"170",170,"D",1,31.5,25,"Pro Player"
"171",171,"F",4,31.5,26,"Pro Player"
"172",172,"F",2,31.5,24,"Pro Player"
"173",173,"M",0,31.5,24,"Pro Player"
"174",174,"F",4,31.5,25,"Pro Player"
"175",175,"D",1,31.5,26,"Pro Player"
"176",176,"D",4,31.5,24,"Pro Player"
"177",177,"F",3,31.5,27,"Pro Player"
"178",178,"M",4,31.5,23,"Pro Player"
"179",179,"D",4,31.5,26,"Pro Player"
"180",180,"D",1,31.5,25,"Pro Player"
"181",181,"F",1,31.5,25,"Pro Player"
"182",182,"F",8,31.5,27,"Pro Player"
"183",183,"F",2,31.5,27,"Pro Player"
"184",184,"D",1,31.5,26,"Pro Player"
"185",185,"F",11,31.5,31,"Peak Player"
"186",186,"D",1,31.5,28,"Pro Player"
"187",187,"G",0,31.5,29,"Peak Player"
"188",188,"D",2,31.5,28,"Pro Player"
"189",189,"F",3,31.5,28,"Pro Player"
"190",190,"M",2,29.7,19,"Young Player"
"191",191,"M",7,29.7,28,"Pro Player"
"192",192,"F",13,29.7,30,"Peak Player"
"193",193,"F",5,28.8,24,"Pro Player"
"194",194,"F",3,28.8,21,"Young Player"
"195",195,"D",0,28.8,25,"Pro Player"
"196",196,"F",2,28.8,25,"Pro Player"
"197",197,"M",4,28.8,26,"Pro Player"
"198",198,"D",0,28.8,24,"Pro Player"
"199",199,"F",6,28.8,25,"Pro Player"
"200",200,"F",4,28.8,28,"Pro Player"
"201",201,"M",4,28.8,27,"Pro Player"
"202",202,"D",1,28.8,26,"Pro Player"
"203",203,"D",1,28.8,27,"Pro Player"
"204",204,"M",0,28.8,27,"Pro Player"
"205",205,"F",10,27,19,"Young Player"
"206",206,"F",3,27,20,"Young Player"
"207",207,"M",5,27,24,"Pro Player"
"208",208,"F",5,27,22,"Young Player"
"209",209,"G",0,27,29,"Peak Player"
"210",210,"M",5,27,20,"Young Player"
"211",211,"D",3,27,21,"Young Player"
"212",212,"M",3,27,24,"Pro Player"
"213",213,"F",3,27,22,"Young Player"
"214",214,"F",8,27,24,"Pro Player"
"215",215,"M",1,27,24,"Pro Player"
"216",216,"D",0,27,26,"Pro Player"
"217",217,"F",5,27,24,"Pro Player"
"218",218,"M",1,27,27,"Pro Player"
"219",219,"M",1,27,24,"Pro Player"
"220",220,"D",1,27,25,"Pro Player"
"221",221,"D",0,27,24,"Pro Player"
"222",222,"D",1,27,28,"Pro Player"
"223",223,"F",5,27,29,"Peak Player"
"224",224,"F",4,27,27,"Pro Player"
"225",225,"D",2,27,28,"Pro Player"
"226",226,"M",3,27,25,"Pro Player"
"227",227,"M",3,27,28,"Pro Player"
"228",228,"F",0,27,25,"Pro Player"
"229",229,"M",3,27,27,"Pro Player"
"230",230,"F",3,27,27,"Pro Player"
"231",231,"D",0,27,27,"Pro Player"
"232",232,"M",1,27,26,"Pro Player"
"233",233,"M",4,27,26,"Pro Player"
